mikrobioloogia ja viroloogia praktikum,LOMR.03.021
keskkonnakeemia koolis,LOKT.04.010
sissejuhatus statistika erialasse,MTMS.01.055
globaalökoloogia,LOOM.02.001
nanostruktuursed materjalid,LOFY.02.029
sissejuhatus majandusteooriasse,P2OG.03.079
kristalsete kivimite petroloogia,LOOM.03.120
matemaatika didaktika seminar,MTMM.00.123
doktoritöö alused,SORG.00.038
ungari keele seminar,FLEE.07.104
mäng ja lapse areng,P2NC.00.265
arengupsühholoogia,SOPH.00.283
muusikatehnoloogia alused,P2VK.02.650
ärianalüüs,MTAT.03.310
proovivõtt ja selle kvaliteedi tagamine,ARSK.03.016
mälumisfüsioloogia ii,ARST.01.104
eesti keele ja kirjanduse õpetaja pidev praktika,FLEE.02.170
magistriseminar i,P2VK.01.459
rakutsükkel,LOTI.02.013
elektrotehnika,P2VK.04.667
erialased seminarid ja ettekanded i,LOFY.01.146
huvijuhi professionaalsuse kujundamine,P2VK.05.392
lastehaigused,ARLA.01.042
bakalaureusetöö,SHHI.02.029
eesti kirjanduse tüvitekstid,FLKU.05.228
ehitus- ja planeerimisõigus,P2OG.01.107
inimõigused,P2OG.02.194
bioloogia,ARMP.01.034
ladina juriidiline terminoloogia,P2OG.01.083
etenduskunstide praktikum,P2VK.04.511
bioinformaatika i,LOMR.10.002
projektijuhtimise alused,P2PC.01.073
bakalaureuseseminar,FLFI.00.091
meistriklass i,P2VK.04.568
neuropsühholoogia praktika,ARNR.01.034
üldkompositsioon ja vormiõpetus,P2VK.01.365
institutsionaalne keskkond,MJRI.03.096
molekulaarbioloogia,LOMR.05.008
sissejuhatus filosoofiasse,FLFI.00.002
loomapopulatsioonide dünaamika ja majandamine,LOOM.04.064
magistriseminar,LOKT.00.016
personali juhtimine,MJJV.03.076
farmakoloogia,ARFR.02.011
nõustamise põhialused,SOPH.00.088
projektipraktika,P2PC.01.109
praktika,SOSS.04.215
sissejuhatus koolieelsesse pedagoogikasse,P2NC.00.089
elektrokardiograafia,ARKA.01.045
perekonnaõigus,OIEO.04.005
eesti kultuurilugu,FLAJ.03.021
arvutid koolimatemaatikas,MTAT.03.143
uususundid,USUS.06.123
erikursus majanduskeelest,FLEE.02.112
erialaseminar,FLGR.03.205
kriminoloogia,OIAO.02.016
sotsioloogilise mõtte ajalugu,SOSS.01.062
eesti kirikulugu,USUS.01.039
keelekümbluse alused,P2NC.00.549
tekstiõpetus i ja ii kooliastmes,SHHI.02.054
magistriseminar,SOSS.04.090
infopädevus,SHUH.05.002
kahjukindlustusmatemaatika,MTMS.02.053
metodoloogia seminar,USUS.02.089
infoturve,MTAT.07.028
õpetaja identiteet ja juhtimine,SHHI.01.029
riistvaraprojekt,LOTI.05.022
praktika,SHRG.00.008
mikroskoopia ii,LOMR.09.025
sportliku treeningu seminar,KKSP.04.044
ehitiste tehnosüsteemid ii,P2VK.01.267
teaduslik ettekanne,LOOM.00.026
geopoliitika,SORG.04.012
materjaliõpetus,P2VK.01.273
noodistamine,P2VK.02.095
käitumise neurobioloogia,SOPH.00.111
immunoloogia alase uurimustöö alused ii,ARMP.02.013
rahvusvaheline eraõigus,OIEO.06.046
bakalaureuseseminar,FLGR.04.153
sotsiaal- ja majandusstatistika alused,MJRI.01.011
teoreetiline keemia,LOKT.08.001
orgaaniline keemia iv,LOKT.09.007
füüsikaline keemia 1. osa,LOKT.02.037
makroökonoomika,MJRI.10.028
idrisi algkursus,LOOM.02.245
füüsikaline maailmapilt,LOFY.01.002
õigussüsteemide võrdlev ajalugu,OIEO.01.041
insenerigraafika,LOFY.01.021
maksuõigus,OIAO.05.008
majandusmõtte ajalugu,MJRI.03.057
iisraeli aja- ja usundilugu,USUS.05.063
tekstianalüüs 3,FLGR.01.039
väärteomenetlus,OIAO.03.022
keskaeg,FLAJ.07.004
soome-ugri keelte seminar,FLEE.07.122
lastehaigused,ARLA.01.027
uurimistöö,ARFA.00.057
tervishoiuökonoomika ja tervishoiukorraldus,ARTH.05.008
euroopa turismigeograafia,P2PC.02.088
reisi- ja sündmuskorraldus,P2PC.02.226
inimõiguste praktika,P2OG.02.216
ainedidaktiline praktikum,P2NC.01.068
ikonograafia,FLAJ.05.139
vokaaldidaktika,P2VK.02.659
rütmimuusika instrument,P2VK.02.757
digitaalne loogika,LOTI.05.055
hajussüsteemide uurimisprojekt,MTAT.08.034
praktiline lepinguõigus,P2PC.01.164
kirurgia,AR00.00.066
füüsikaline ravi,KKSB.05.074
professionaalne areng i,ARST.01.108
kaasaegne tants ii,P2VK.04.567
hispaania keele ajalugu,FLGR.03.130
hääletöö praktika,P2VK.04.565
ansambel iii,P2VK.02.467
aktiivsus- ja tähelepanuhäirega õpilane,SHHI.03.001
esemete konserveerimise ja säilitamise alused,P2VK.01.286
läänemere regiooni ajalugu,SHRG.03.004
sotsioloogia alused,P2PC.00.499
juhtumianalüüsi alused,SOPH.00.133
e-õppe tehnoloogiad kõrgkoolis,MTAT.03.191
hispaania keele didaktika ii,FLLC.03.002
meditsiiniline mikrobioloogia,ARMB.01.020
tänapäevase ajalookirjutuse kujunemine,FLAJ.07.091
teoreetilise füüsika seminar,LOFY.04.045
keskkonna analüüsi praktikum,LOKT.04.034
bioeetika,ARFA.02.108
magistriseminar keskkonnafüüsikas,LOFY.05.042
krüptograafia uurimisprojekt,MTAT.07.020
tõlkeseminar,FLGR.03.253
normaalne ja patoloogiline anatoomia ja füsioloogia,ARFS.01.078
sissejuhatus loogikasse,FLFI.04.024
õppemetoodiline töö,MTAT.00.023
sissejuhatus erialasse,AR00.00.057
diskursuseanalüüsi seminar,FLGR.01.181
religioonisotsioloogia,USUS.03.038
kõrva-nina-kurguhaigused,ARKR.01.002
psühholingvistika,FLEE.08.064
eksperimentaalpsühholoogia eriseminar,SOPH.00.548
õpetamine ja refleksioon,SHHI.01.028
suhtlemispsühholoogia,P2PC.00.659
sotsiaalhooldusõigus,P2OG.02.015
tööõigus,P2OG.01.044
ansambel iii,P2VK.02.680
kristluse ajalugu,USUS.01.069
mikroökonoomika,MJRI.09.017
heaolumajandus ja innovatsioon,P2PC.00.669
kaasaegne eesti keel i,SHHI.02.053
ersa keel i,FLEE.07.171
üldrelatiivsusteooria,LOFY.04.049
turundus,MJJV.02.092
laserite füüsika,LOFY.01.033
geotektoonika ja regionaalgeoloogia,LOOM.03.124
bioloogiafilosoofia,FLFI.03.084
eestvedamine ja konfliktide juhtimine,MJJV.03.166
sissejuhatus filosoofiasse,FLFI.00.001
saksa kirjanduse proseminar,FLGR.04.061
eesti nüüdiskirjandus,FLKU.05.121
genoomika,LOMR.10.006
üldkeemia seminar,LOKT.01.046
eesti lastekirjandus,HTOS.02.077
ulukibioloogia,LOOM.04.066
neuropsühholoogia,SOPH.00.024
tehnikatekstide toimetamine,FLEE.02.134
biomeetria bioloogidele,MTMS.01.017
eesti keele praktika,FLEE.04.132
õiguse entsüklopeedia,OIAO.06.049
eesti kirjanduse ajalugu i,FLKU.05.090
geoloogiline seadusandlus,LOOM.03.082
muuseumipraktika,FLKU.05.125
varavastased süüteod,OIAO.01.026
magistritöö,FLFI.00.071
õiguspsühholoogia,P2OG.03.066
hingehoid,USUS.03.024
baltimaade kiviaeg,FLAJ.01.073
religioonipsühholoogia,USUS.03.079
projekti- ja protsessipõhine juhtimine,P2PC.00.678
ansambel i,P2VK.02.678
selgrootute zooloogia,LOOM.04.077
kehalise kasvatuse õpetaja põhipraktika,KKSP.02.039
monetaarökonoomika,MJRI.10.039
matemaatika koolis,MTMM.00.352
magistritöö,SOPH.00.522
magistriseminar,LOOM.02.209
kuritegevus meedia peeglis,OIAO.01.040
arendusprojektide planeerimine ja koostamine õenduses,AROT.01.013
keemia alused,LOKT.07.015
eritehnikad kunstiõpetuses,HTHT.02.012
kooli tarkvara,MTAT.03.029
pärmigeneetika,LOMR.08.007
geoloogia magistriseminar,LOOM.03.127
eripedagoogide kutse-eetika,HTHT.07.002
kolloid- ja pindnähtuste keemia i,LOKT.04.003
doktoriseminar,FLFI.00.016
patoloogiline füsioloogia,ARMP.03.014
bioorgaaniline keemia,LOKT.10.012
üldine keemia,LOKT.01.058
eesti keele stilistika,P2NC.00.870
