arstiteaduskond emeriitdotsent,ar01
filosoofiateaduskond emeriitdotsent,fl01
bioloogia-geograafiateaduskond emeriitdotsent,bg01
füüsika-keemiateaduskond emeriitdotsent,fk01
haridusteaduskond emeriitdotsent,ht01
kehakultuuriteaduskond emeriitdotsent,kk01
majandusteaduskond emeriitdotsent,mj01
matemaatika-informaatikateaduskond emeriitdotsent,mt01
sotsiaalteaduskond emeriitdotsent,so01
eesti geenivaramu,p1gv
kõrgkoolididaktika keskus,htkd
praktika ja kutseaasta keskus,htkk
botaanika ja mükoloogiamuuseum,dhum03bm
klassikaline filoloogia osakond,flgr02
saksa filoloogia osakond,flgr08
skandinavistika osakond,flgr06
vene keel õppetool,flgr05ve
vene kirjandus õppetool,flgr05vk
slaavi filoloogia õppetool,flgr05sf
maailmakirjandus osakond,flku06
eesti kirjandus osakond,flku07
teatriteadus ja kirjandusteooria osakond,flku08
tartu ülikool keemia instituut,fkkt
tartu ülikool ökoloogia ja maateadus instituut,bgom
botaanika osakond,bgom01
geograafia osakond,bgom02
geoloogia osakond,bgom03
zooloogia osakond,bgom04
maalikunst õppetool,flku01mk
muusika õppetool,flku01mu
eesti kirjandus õppetool,flku05ek
maailmakirjandus õppetool,flku05ma
teatriteadus õppetool,flku05tt
struktuurifond talitus,dhhb05
botaanika õppetool,bgom01bo
mükoloogia õppetool,bgom01mk
taimeökoloogia õppetool,bgom01ta
ökofüsioloogia õppetool,bgom01of
geoinformaatika ja kartograafia õppetool,bgom02gk
inimgeograafia ja regionaalplaneerimine õppetool,bgom02gr
loodusgeograafia ja maastikuökoloogia õppetool,bgom02lm
väliseesti uuring keskus,bgom02ce
geoloogia ja mineraloogia õppetool,bgom03gm
paleontoloogia ja stratigraafia õppetool,bgom03ps
pinnakate ja rakendusgeoloogia õppetool,bgom03pr
arengubioloogia õppetool,bgom04ab
hüdrobioloogia õppetool,bgom04hb
loomaökoloogia õppetool,bgom04lo
zooloogia õppetool,bgom04zo
puhas matemaatika osakond,mtmm01
rakendusmatemaatika osakond,mtmm02
algebra uurimisrühm,mtmm01pm
geomeetria ja topoloogia uurimisrühm,mtmm01gt
funktsionaalanalüüs uurimisrühm,mtmm01fa
matemaatika didaktika uurimisrühm,mtmm01md
matemaatiline analüüs uurimisrühm,mtmm01ma
universaalalgebra uurimisrühm,mtmm01ua
arvutusmatemaatika töörühm,mtmm02am
teoreetiline mehaanika töörühm,mtmm02tm
anorgaaniline keemia õppetool,fkkt01
füüsikaline keemia õppetool,fkkt02
keemiaharidus õppetool,fkkt03
